"Latin I: Chapter 4 Vocabulary"
"animus, animi, m.","Noun: spirit, soul, mind"
"bellum, -i, n.","Noun: war"
"amica, amicae, f.","Noun: friend"
"amicus, amici, m.","Noun: friend"
"femina, feminae, f.","Noun: woman"
"numerus, numeri, m.","Noun: number"
"populus, populi, m.","Noun: the people, a people, a nation"
"puer, puerī, m.","Noun: boy"
"vir, viri, m.","Noun: man, hero, husband"
"Romanus, Romana, Romanum","Adjective: Roman"
"de (+ prep.)","Preposition: from, down from, about, concerning"
"in","Preposition: in, on, against"
"hodie","Adverb: today"
"et","Conjunction: and, even"
"semper","Adverb: always"
"habeo, habēre, habui, habitum","Verb: to have, hold, possess"
"porto, portare, portavi, portatus","Verb: to bring, carry"
